DEPARTAMENTO_DOMICILIO,CIUDAD_DOMICILIO,CIIU,INGRESOS_OPERACIONALES,TOTAL_ACTIVOS,TOTAL_PASIVOS,TOTAL_PATRIMONIO,ANO_DE_CORTE,SUPERVISOR_SUPERSALUD,SUPERVISOR_SUPERSERVICIOS,SUPERVISOR_SUPERSOCIEDADES,SUPERVISOR_SUPERTRANSPORTE,SUPERVISOR_SUPERVIGILANCIA,REGION_Bogotá - Cundinamarca,REGION_Centro - Oriente,REGION_Costa Atlántica,REGION_Costa Pacífica,REGION_Eje Cafetero,REGION_Otros,MACROSECTOR_COMERCIO,MACROSECTOR_CONSTRUCCIÓN,MACROSECTOR_MANUFACTURA,MACROSECTOR_MINERO,MACROSECTOR_SERVICIOS
5,60,258,8.53,19.56,2.35,17.21,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
5,60,296,7.86,14.83,10.07,4.75,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4,48,225,7.78,5.3,3.28,2.02,2022,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
5,60,218,7.76,1.74,1.27,0.47,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
5,60,293,7.2,7.95,3.36,4.59,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
5,60,23,6.96,10.68,7.53,3.15,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
5,60,218,6.57,0.94,0.91,0.03,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
5,60,370,6.21,3.22,2.81,0.41,2022,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5,60,248,5.99,3.79,2.34,1.45,2022,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5,60,258,5.52,8.71,3.83,4.88,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
5,60,328,5.5,11.62,5.53,6.09,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
5,60,328,5.15,8.7,2.07,6.63,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
36,647,170,4.92,11.11,6.63,4.48,2022,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,343,168,4.82,23.81,18.24,5.56,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,60,328,4.72,12.25,9.46,2.79,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
5,60,225,4.64,5.81,1.82,3.98,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
5,60,218,4.47,1.45,1.37,0.08,2022,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5,60,330,4.42,1.91,1.41,0.5,2022,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5,60,215,4.34,1.87,1.62,0.25,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1,343,370,2.51,0.22,0.79,-0.57,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,60,247,4.28,2.86,2.42,0.44,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
5,60,328,4.14,4.6,2.53,2.07,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
6,108,370,4.08,1.12,0.79,0.33,2022,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5,60,24,4.05,2.34,1.48,0.86,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
5,60,370,3.97,0.95,2.04,-1.09,2022,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5,60,354,3.9,3.47,1.55,1.92,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
1,185,141,3.73,1.04,0.65,0.39,2022,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6,108,83,3.7,3.67,0.63,3.04,2022,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
5,60,169,3.59,31.51,11.01,20.5,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5,60,198,3.58,0.67,0.48,0.19,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
5,60,141,3.57,2.13,1.4,0.73,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
1,185,20,3.52,1.3,0.78,0.52,2022,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31,398,212,3.5,2.4,2.2,0.2,2022,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
5,60,20,3.44,1.02,0.65,0.37,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
5,60,172,3.37,1.82,1.23,0.59,2022,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6,108,370,3.37,0.66,0.45,0.21,2022,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,343,169,3.32,25.49,7.04,18.45,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,60,328,3.25,4.87,2.06,2.81,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
5,60,315,3.09,10.8,5.61,5.19,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
5,60,218,3.09,1.47,1.0,0.47,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
4,48,293,2.82,2.37,0.57,1.79,2022,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
36,88,223,2.82,3.6,1.08,2.52,2022,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
1,343,0,2.78,3.04,1.65,1.39,2022,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,60,218,2.77,1.0,1.07,-0.07,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1,343,232,2.77,1.48,0.55,0.93,2022,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,343,296,2.76,5.3,4.74,0.56,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,108,82,2.75,1.69,0.64,1.05,2022,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
6,108,83,2.73,1.19,0.25,0.94,2022,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1,271,20,2.67,1.08,0.68,0.4,2022,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,185,20,2.64,1.19,0.76,0.43,2022,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,60,363,2.63,1.42,0.55,0.87,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
5,60,297,2.62,4.41,4.39,0.01,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,343,24,2.6,3.43,1.97,1.46,2022,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,60,384,2.55,2.06,1.07,0.99,2022,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,343,24,2.55,2.07,1.11,0.96,2022,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,456,262,2.55,2.66,1.57,1.09,2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
26,395,384,2.53,0.36,1.82,-1.46,2022,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5,60,226,2.52,1.45,1.12,0.33,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
36,651,16,2.49,2.26,1.72,0.54,2022,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
11,409,370,2.49,0.27,1.04,-0.77,2022,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4,48,100,2.48,17.45,6.15,11.3,2022,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
4,48,109,2.47,1.61,0.85,0.76,2022,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
5,60,8,2.43,1.33,1.05,0.28,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
33,71,186,2.3,2.16,0.02,2.14,2022,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
5,60,328,2.28,1.1,0.85,0.25,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
5,60,232,2.27,0.19,0.16,0.03,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
5,60,253,2.26,20.04,3.07,16.96,2022,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
36,388,20,2.25,0.7,0.37,0.33,2022,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
6,599,113,2.21,2.54,1.23,1.31,2022,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
15,563,7,2.16,1.58,1.34,0.24,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5,60,74,2.11,0.91,0.3,0.62,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
5,60,214,2.1,0.6,0.58,0.02,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
5,60,19,2.09,1.29,1.07,0.21,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
1,343,11,2.05,2.43,1.61,0.81,2022,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,60,328,2.02,3.64,1.49,2.14,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
5,60,205,2.02,0.41,0.32,0.09,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
5,60,10,2.0,0.7,0.58,0.11,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
36,88,87,1.99,1.0,0.75,0.25,2022,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
4,48,258,1.99,11.19,5.49,5.7,2022,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5,60,225,1.99,1.1,0.62,0.48,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
36,88,0,1.96,1.74,1.2,0.53,2022,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
5,60,19,1.95,0.62,0.38,0.24,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
5,60,10,1.94,0.42,0.35,0.07,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
5,60,212,1.93,1.42,0.84,0.57,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
5,60,208,1.92,0.32,0.32,-0.0,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1,343,49,1.91,3.07,0.6,2.47,2022,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,60,205,1.91,0.41,0.34,0.07,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1,343,353,1.88,5.54,3.33,2.21,2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5,60,328,1.88,1.8,1.85,-0.04,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
5,60,218,1.85,1.39,0.6,0.79,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1,343,206,1.85,1.18,0.6,0.58,2022,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
5,60,8,1.84,1.51,0.81,0.7,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
5,60,370,1.84,0.42,0.39,0.03,2022,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5,60,205,1.79,0.25,0.24,0.01,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
5,60,271,1.79,0.38,0.28,0.1,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
5,60,328,1.78,3.17,1.22,1.95,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
5,63,262,1.78,0.94,1.44,-0.49,2022,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,343,379,1.77,1.29,0.73,0.56,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,271,220,1.73,1.31,0.53,0.77,2022,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
5,60,10,1.71,0.49,0.41,0.08,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
1,456,262,1.71,3.38,4.24,-0.86,2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
36,88,226,1.7,1.29,0.72,0.58,2022,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
5,60,224,1.7,1.35,0.72,0.63,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
36,647,47,1.7,3.37,1.49,1.88,2022,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
15,151,214,1.7,1.08,0.91,0.17,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
5,60,217,1.69,1.02,0.99,0.03,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1,343,353,1.69,1.4,0.35,1.05,2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5,60,309,1.68,9.66,7.64,2.02,2022,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
36,647,151,1.64,1.56,0.88,0.69,2022,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
5,60,104,1.64,2.02,0.96,1.06,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
36,388,8,1.64,1.84,0.75,1.09,2022,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
4,48,232,1.62,0.06,0.05,0.01,2022,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
5,60,65,1.61,1.58,1.15,0.43,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
5,60,198,1.61,0.48,0.24,0.24,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
15,205,20,1.6,0.38,0.28,0.1,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
5,60,215,1.59,1.37,1.31,0.06,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
5,60,99,1.58,1.51,0.93,0.58,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
5,60,198,1.57,0.77,0.62,0.14,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
36,88,13,1.57,1.37,0.84,0.54,2022,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
5,60,224,1.55,0.5,0.42,0.08,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1,343,16,1.55,2.6,1.16,1.44,2022,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
15,120,198,1.55,0.75,0.57,0.18,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
5,60,5,1.53,1.18,0.84,0.34,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
5,60,85,1.53,1.11,0.85,0.26,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
36,88,172,1.52,1.47,1.04,0.44,2022,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5,60,207,1.52,0.81,0.71,0.11,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
5,60,205,1.52,0.46,0.45,0.0,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
5,60,296,1.52,4.22,2.01,2.2,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
15,585,87,1.52,1.08,0.65,0.43,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
4,48,96,1.51,1.19,0.85,0.34,2022,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
5,60,384,1.51,1.56,0.59,0.97,2022,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5,60,198,1.5,0.81,0.45,0.37,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
36,88,9,1.49,1.06,0.55,0.52,2022,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
36,88,13,1.48,2.65,1.13,1.52,2022,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
5,60,104,1.48,1.01,0.3,0.71,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
5,60,214,1.48,0.48,0.41,0.07,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
5,60,220,1.48,0.88,0.47,0.4,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1,343,19,1.47,3.14,0.98,2.16,2022,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,60,198,1.46,0.91,0.55,0.36,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1,227,151,1.45,0.93,0.33,0.6,2022,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,60,213,1.42,0.69,0.42,0.27,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
5,60,311,1.39,14.91,1.76,13.14,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5,60,10,1.39,0.51,0.47,0.04,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
36,647,125,1.39,0.94,0.78,0.16,2022,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1,43,49,1.37,2.34,1.16,1.17,2022,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,60,19,1.37,1.44,0.66,0.78,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
36,647,87,1.37,0.65,0.36,0.28,2022,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
15,151,214,1.36,0.42,0.38,0.04,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
5,60,293,1.36,1.08,0.25,0.83,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
22,512,5,1.35,1.33,1.04,0.29,2022,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
36,88,370,1.35,0.29,0.79,-0.5,2022,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5,60,95,1.34,1.66,1.05,0.61,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
15,189,88,1.34,0.46,0.23,0.23,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
1,343,253,1.34,0.44,0.24,0.21,2022,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
36,88,380,1.33,1.61,0.63,0.98,2022,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,343,344,1.33,2.91,2.34,0.57,2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,144,128,1.33,0.97,0.63,0.34,2022,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,60,416,1.33,0.87,0.3,0.56,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
1,343,219,1.32,0.03,0.0,0.03,2022,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
5,60,330,1.31,11.72,0.03,11.69,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
5,60,299,1.31,0.97,0.92,0.05,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
36,88,13,1.3,1.39,0.57,0.82,2022,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
5,60,198,1.27,0.71,0.28,0.43,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
5,60,328,1.27,2.06,0.62,1.44,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
5,60,367,1.27,9.26,3.01,6.25,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
5,60,27,1.27,1.45,1.09,0.36,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
5,60,211,1.27,0.54,0.43,0.11,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
6,108,172,1.26,1.9,1.09,0.81,2022,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
15,151,214,1.25,0.42,0.36,0.06,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
8,335,224,1.25,1.01,0.49,0.51,2022,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
5,60,198,1.25,0.99,0.47,0.52,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
5,60,416,1.25,1.64,0.39,1.25,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
15,151,214,1.23,0.64,0.55,0.09,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1,343,198,1.23,1.09,0.83,0.26,2022,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
36,77,74,1.22,0.48,0.17,0.3,2022,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
36,647,47,1.22,1.02,0.59,0.43,2022,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
14,130,0,1.21,0.59,0.5,0.09,2022,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
5,60,218,1.21,0.39,0.37,0.02,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
5,60,23,1.21,1.3,0.7,0.6,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
5,60,186,1.2,3.93,2.62,1.32,2022,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
5,60,299,1.19,6.75,0.09,6.66,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
5,60,15,1.19,0.79,0.45,0.34,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
5,60,83,1.17,0.6,0.38,0.22,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
36,88,13,1.17,1.75,0.92,0.83,2022,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
15,585,24,1.16,1.05,0.32,0.73,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
5,60,205,1.16,0.2,0.23,-0.03,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
15,83,7,1.15,0.64,0.59,0.05,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
4,48,221,1.15,0.66,0.65,0.01,2022,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1,185,96,1.15,1.37,0.63,0.75,2022,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4,48,90,1.13,1.97,1.64,0.33,2022,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
5,60,316,1.13,0.76,0.32,0.43,2022,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5,60,416,1.13,0.78,0.27,0.51,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
5,60,258,1.13,1.41,0.59,0.82,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
5,60,221,1.12,0.59,0.51,0.09,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
5,60,331,1.12,0.67,0.16,0.5,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
5,60,205,1.11,0.89,0.48,0.4,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
5,60,198,1.1,0.47,0.38,0.09,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1,185,151,1.09,0.93,0.84,0.09,2022,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,60,212,1.09,0.74,0.32,0.43,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
6,108,83,1.09,0.58,0.14,0.45,2022,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
5,60,234,1.08,0.19,0.18,0.01,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
8,335,128,1.08,0.59,0.33,0.26,2022,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
5,63,262,1.08,3.07,2.53,0.53,2022,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
27,156,218,1.08,0.16,0.15,0.01,2022,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
5,60,53,1.07,0.35,0.26,0.09,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
36,647,104,1.07,0.46,0.21,0.25,2022,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
5,60,317,1.06,0.61,0.41,0.2,2022,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5,60,218,1.06,0.15,0.15,0.0,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
6,108,94,1.06,1.49,0.99,0.5,2022,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
5,60,300,1.06,0.48,0.31,0.17,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
22,512,205,1.06,0.54,0.36,0.17,2022,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
5,60,113,1.05,0.88,0.55,0.32,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
5,60,295,1.05,1.31,0.57,0.74,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5,60,212,1.05,0.64,0.48,0.16,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1,298,34,1.05,0.42,0.38,0.04,2022,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
